,Preço,Preço Realizado,Preço de NVT,Custos Evitados,Preço de Metcalfe,Preço de Estoque-Fluxo
2013-04-28,134.62356956166,45.439355539828924,24.474930816031023,20.51721229946536,84.17198683896369,38.16557718159506
2013-04-29,143.810378192577,46.09804542200379,24.863523199640163,20.767283482598547,84.20722254162501,38.424379003109806
2013-04-30,139.129647545295,46.37550154483602,25.108572815924283,21.048470009049424,84.23745021887123,38.73161449147747
2013-05-01,116.11380104032699,46.0682457014101,25.13988517815628,21.25836363372979,84.26813508055236,39.03077603919052
2013-05-02,106.34098469725299,45.81673247438667,25.201956013365212,21.336106426145577,84.29540878803043,39.37062074319406
2013-05-03,96.3168402741087,45.672294789645086,25.27486905884586,21.261419459053517,84.32333538488477,39.72841903812499
2013-05-04,112.49763636908199,45.805446955447756,25.289891429129284,21.282778534533943,84.35580022373483,40.03338086706441
2013-05-05,116.488715827002,46.000545643797224,25.33980675519099,21.270471315610443,84.3895512197448,40.22162501382396
2013-05-06,112.118596195207,46.06449812809551,25.45360157139566,21.4010994966308,84.42356963762789,40.45231290921924
2013-05-07,111.60921287346599,46.14158280376864,25.548491117152516,21.385127429319997,85.814345314842,40.63606164632617
2013-05-08,113.136061854763,46.185565026273835,25.659363089335095,21.20663702414937,85.8491214798443,40.86152710514149
2013-05-09,111.974532710696,46.23954835430947,25.748514773547875,20.700746513361565,85.88375057759971,41.08661568331369
2013-05-10,117.691036883694,46.23413581017894,25.785342514407553,21.032495373400465,85.92013724212734,41.274892230493386
2013-05-11,115.49977766277,46.4451227936531,25.858660101296707,21.44801023748416,85.95871573508616,41.42317003197243
2013-05-12,114.88567555961399,46.52544369025549,26.06881885498321,21.91278053359944,85.99439643339632,41.57413257479302
2013-05-13,117.40445664611299,46.6461282401285,26.248099630542708,22.3703959742921,86.03142219094498,41.80995220257336
2013-05-14,107.86556656925801,46.56249468492637,26.262468516432822,22.8179631747254,86.06425226963856,42.08607136460667
2013-05-15,108.98685242548201,46.67388244041148,26.38551426988097,23.242640667616364,86.09436058942732,42.34590322754909
2013-05-16,112.91787405026301,46.762409322570086,26.640554601853538,23.59964294650527,86.12601475016442,42.55946219798608
2013-05-17,117.28461601402701,46.896833720773074,26.776134592119927,24.056335904270895,86.16050886804051,42.72116733786128
2013-05-18,118.169876680304,47.18230302524609,26.896036300479228,24.494381684098034,86.19248734863022,42.94873568354394
2013-05-19,117.03388018702499,47.239679775481605,27.05151199041539,24.918390310456815,86.226025284045,43.151833425926206
2013-05-20,117.81863646990101,47.32836399786315,27.112481083658043,25.297995280375837,86.25380277169701,43.37919701255112
2013-05-21,117.25204091174801,47.390791676466534,27.189747075119502,25.701324565578524,86.2863684062012,43.64838717819745
2013-05-22,118.97817358270001,47.49909306693297,27.264003529586383,26.17455978734029,87.46739106359165,43.97016361652737
